Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ALLE,ALLE,ALLE,ALLE,ALLE,ALLE
Date,,,,,,
2023-09-11,105.0368423461914,108.2699966430664,108.94999694824219,107.77999877929688,108.94999694824219,628500
2023-09-12,103.57193756103516,106.76000213623047,108.2300033569336,106.62999725341797,107.19999694824219,586700
2023-09-13,102.40777587890625,105.55999755859375,107.3499984741211,105.11000061035156,106.48999786376953,465600
2023-09-14,103.13536834716797,106.30999755859375,106.98999786376953,105.45999908447266,106.44000244140625,343000
2023-09-15,102.96002197265625,105.68000030517578,106.5199966430664,104.7699966430664,105.11000061035156,1423500
2023-09-18,102.4728775024414,105.18000030517578,106.19000244140625,104.62999725341797,105.73999786376953,545500
2023-09-19,103.11588287353516,105.83999633789062,105.91999816894531,104.2699966430664,104.93000030517578,685300
2023-09-20,101.56681823730469,104.25,107.36000061035156,104.16999816894531,106.68000030517578,648200
2023-09-21,101.17710876464844,103.8499984741211,104.73999786376953,102.83999633789062,103.66000366210938,736200
2023-09-22,101.14788818359375,103.81999969482422,104.8499984741211,103.36000061035156,104.08000183105469,513200
2023-09-25,101.3134994506836,103.98999786376953,104.5,103.0999984741211,103.0999984741211,414700
2023-09-26,99.46238708496094,102.08999633789062,103.7300033569336,101.93000030517578,103.0999984741211,545400
2023-09-27,100.63151550292969,103.29000091552734,104.02999877929688,102.58000183105469,103.08999633789062,571200
2023-09-28,101.57655334472656,104.26000213623047,105.25,102.8499984741211,102.91000366210938,548700
2023-09-29,101.5180892944336,104.19999694824219,105.30000305175781,103.91000366210938,105.16000366210938,653200
2023-10-02,100.47563171386719,103.12999725341797,104.58999633789062,102.5199966430664,104.0,674800
2023-10-03,100.13465118408203,102.77999877929688,104.06999969482422,101.94999694824219,102.66000366210938,606900
2023-10-04,101.4401626586914,104.12000274658203,104.30000305175781,102.4800033569336,103.12999725341797,615500
2023-10-05,100.10542297363281,102.75,104.08000183105469,102.08000183105469,103.94999694824219,611100
2023-10-06,101.02122497558594,103.69000244140625,104.4000015258789,101.41999816894531,101.98999786376953,680700
2023-10-09,101.76166534423828,104.44999694824219,104.95999908447266,102.16999816894531,102.75,371400
2023-10-10,102.75541687011719,105.47000122070312,106.56999969482422,104.52999877929688,105.0,471700
2023-10-11,103.2425308227539,105.97000122070312,106.37000274658203,105.19999694824219,105.54000091552734,330400
2023-10-12,101.2647933959961,103.94000244140625,105.95999908447266,103.12999725341797,105.94999694824219,467700
2023-10-13,100.81663513183594,103.4800033569336,105.05999755859375,102.26000213623047,103.93000030517578,546300
2023-10-16,102.55081939697266,105.26000213623047,105.6500015258789,103.76000213623047,104.80999755859375,470500
2023-10-17,102.87232971191406,105.58999633789062,106.75,103.91000366210938,104.6500015258789,443300
2023-10-18,97.49439239501953,100.06999969482422,104.08000183105469,99.87999725341797,104.08000183105469,691500
2023-10-19,96.02324676513672,98.55999755859375,100.87000274658203,98.02999877929688,99.1500015258789,566100
2023-10-20,94.50341033935547,97.0,98.69999694824219,96.38999938964844,98.55999755859375,1194900
2023-10-23,94.37676239013672,96.87000274658203,97.88999938964844,96.54000091552734,96.54000091552734,694000
2023-10-24,94.6105728149414,97.11000061035156,98.79000091552734,96.77999877929688,97.76000213623047,588500
2023-10-25,94.0357666015625,96.5199966430664,97.97000122070312,95.94000244140625,96.55999755859375,1030300
2023-10-26,94.74698638916016,97.25,98.25,96.72000122070312,97.52999877929688,812400
2023-10-27,94.9223403930664,97.43000030517578,98.44000244140625,96.9000015258789,97.12000274658203,748000
2023-10-30,95.19514465332031,97.70999908447266,98.76000213623047,96.47000122070312,98.2300033569336,1148800
2023-10-31,95.82840728759766,98.36000061035156,104.98999786376953,95.97000122070312,102.12999725341797,2026900
2023-11-01,96.3740005493164,98.91999816894531,100.25,97.0999984741211,98.58999633789062,1169700
2023-11-02,96.5785903930664,99.12999725341797,101.19999694824219,98.20999908447266,100.37999725341797,776300
2023-11-03,99.26756286621094,101.88999938964844,102.33000183105469,100.29000091552734,100.83999633789062,686900
2023-11-06,99.11166381835938,101.7300033569336,102.3499984741211,101.44000244140625,101.9000015258789,813900
2023-11-07,98.79991149902344,101.41000366210938,101.9000015258789,100.22000122070312,101.16000366210938,461400
2023-11-08,99.44292449951172,102.06999969482422,102.73999786376953,101.5199966430664,101.88999938964844,813800
2023-11-09,98.527099609375,101.12999725341797,102.86000061035156,101.11000061035156,102.44000244140625,669900
2023-11-10,100.82637023925781,103.48999786376953,103.66999816894531,101.44000244140625,102.05000305175781,599700
2023-11-13,100.57306671142578,103.2300033569336,103.41000366210938,102.1500015258789,102.75,666500
2023-11-14,103.20357513427734,105.93000030517578,106.30999755859375,104.27999877929688,105.29000091552734,1016200
2023-11-15,103.92452239990234,106.66999816894531,107.37999725341797,105.6500015258789,106.37999725341797,661700
2023-11-16,103.22306060791016,105.94999694824219,107.3499984741211,105.76000213623047,106.61000061035156,428100
2023-11-17,103.61276245117188,106.3499984741211,106.95999908447266,105.51000213623047,106.95999908447266,411900
2023-11-20,103.01847076416016,105.73999786376953,106.47000122070312,104.62000274658203,106.2699966430664,441800
2023-11-21,101.4791259765625,104.16000366210938,105.62000274658203,103.8499984741211,105.5199966430664,712100
2023-11-22,101.97600555419922,104.66999816894531,105.36000061035156,104.23999786376953,104.66999816894531,439000
2023-11-24,102.33647918701172,105.04000091552734,105.19999694824219,104.38999938964844,104.91000366210938,196400
2023-11-27,101.46937561035156,104.1500015258789,104.63999938964844,103.55000305175781,104.47000122070312,636700
2023-11-28,101.4401626586914,104.12000274658203,105.05000305175781,103.19000244140625,103.91000366210938,604500
2023-11-29,101.8980484008789,104.58999633789062,106.23999786376953,104.5,105.12000274658203,476600
2023-11-30,103.35944366455078,106.08999633789062,106.3499984741211,103.56999969482422,104.81999969482422,1287900
2023-12-01,105.89253997802734,108.69000244140625,108.79000091552734,105.31999969482422,106.33999633789062,689300
2023-12-04,104.29474639892578,107.05000305175781,108.45999908447266,105.94000244140625,106.5999984741211,661000
2023-12-05,102.80411529541016,105.5199966430664,106.80999755859375,105.23999786376953,106.08999633789062,509600
2023-12-06,102.42416381835938,105.12999725341797,106.54000091552734,104.87999725341797,106.16999816894531,969600
2023-12-07,102.38518524169922,105.08999633789062,105.7699966430664,104.25,105.33000183105469,729900
2023-12-08,107.50006103515625,110.33999633789062,112.36000061035156,106.66000366210938,107.0,2081100
2023-12-11,106.95448303222656,109.77999877929688,110.6500015258789,109.01000213623047,110.05000305175781,756100
2023-12-12,106.92525482177734,109.75,110.30999755859375,108.19000244140625,109.0999984741211,699100
2023-12-13,108.38665008544922,111.25,111.80999755859375,107.91999816894531,109.33000183105469,870200
2023-12-14,115.52799224853516,118.58000183105469,118.94000244140625,112.26000213623047,112.37000274658203,1939900
2023-12-15,114.9314193725586,117.5199966430664,118.62999725341797,116.87000274658203,117.86000061035156,1580900
2023-12-18,115.3519515991211,117.94999694824219,118.30000305175781,116.93000030517578,118.30000305175781,744200
2023-12-19,116.88737487792969,119.5199966430664,119.56999969482422,118.31999969482422,118.8499984741211,873000
