Price,Adj Close,Close,High,Low,Open,Volume
Ticker,EMN,EMN,EMN,EMN,EMN,EMN
Date,,,,,,
2023-09-11,74.04776000976562,79.5999984741211,81.18000030517578,79.48999786376953,80.3499984741211,890100
2023-09-12,73.78729248046875,79.31999969482422,80.2300033569336,79.05000305175781,79.30000305175781,586300
2023-09-13,72.53145599365234,77.97000122070312,79.55000305175781,77.5,79.31999969482422,920300
2023-09-14,74.83390045166016,79.62999725341797,79.68000030517578,77.8499984741211,78.33000183105469,971300
2023-09-15,74.24183654785156,79.0,79.61000061035156,78.56999969482422,79.43000030517578,1164400
2023-09-18,73.72496032714844,78.44999694824219,79.2699966430664,78.05000305175781,79.11000061035156,441900
2023-09-19,73.96930694580078,78.70999908447266,78.88999938964844,77.55000305175781,78.41999816894531,1084000
2023-09-20,73.69676208496094,78.41999816894531,80.11000061035156,78.30999755859375,79.25,599200
2023-09-21,72.05216979980469,76.66999816894531,78.02999877929688,76.61000061035156,77.97000122070312,685100
2023-09-22,71.20637512207031,75.7699966430664,77.55000305175781,75.55999755859375,76.93000030517578,928400
2023-09-25,71.68566131591797,76.27999877929688,76.55999755859375,75.5,75.5,704000
2023-09-26,70.24781036376953,74.75,75.94000244140625,74.26000213623047,75.5,1104400
2023-09-27,70.1444320678711,74.63999938964844,75.44000244140625,74.44000244140625,75.4000015258789,755500
2023-09-28,72.25892639160156,76.88999938964844,77.4800033569336,74.54000091552734,74.75,967100
2023-09-29,72.09916687011719,76.72000122070312,77.6500015258789,76.16000366210938,77.4000015258789,664500
2023-10-02,70.93385314941406,75.4800033569336,76.83000183105469,74.79000091552734,76.33000183105469,992100
2023-10-03,70.66132354736328,75.19000244140625,76.48999786376953,74.55000305175781,74.55000305175781,814500
2023-10-04,71.24397277832031,75.80999755859375,76.20999908447266,74.66000366210938,76.16999816894531,1178400
2023-10-05,69.17647552490234,73.61000061035156,76.0199966430664,73.19999694824219,75.37000274658203,929800
2023-10-06,69.46781158447266,73.91999816894531,74.87999725341797,72.83000183105469,73.12999725341797,1022800
2023-10-09,68.33068084716797,72.70999908447266,73.93000030517578,72.20999908447266,73.36000061035156,732900
2023-10-10,69.70275115966797,74.16999816894531,74.69999694824219,73.16999816894531,73.30000305175781,800400
2023-10-11,69.7591323852539,74.2300033569336,74.63999938964844,73.18000030517578,73.83999633789062,829600
2023-10-12,68.72538757324219,73.12999725341797,74.69000244140625,72.4800033569336,74.37000274658203,757000
2023-10-13,68.2742919921875,72.6500015258789,73.94000244140625,72.30000305175781,73.69999694824219,551300
2023-10-16,68.97914123535156,73.4000015258789,73.94000244140625,73.01000213623047,73.6500015258789,471600
2023-10-17,69.94708251953125,74.43000030517578,74.5199966430664,72.56999969482422,72.56999969482422,741200
2023-10-18,68.3118896484375,72.69000244140625,73.3499984741211,72.31999969482422,73.06999969482422,625300
2023-10-19,67.22175598144531,71.52999877929688,73.45999908447266,71.41000366210938,72.29000091552734,621900
2023-10-20,66.99620819091797,71.29000091552734,72.29000091552734,71.25,71.69999694824219,877700
2023-10-23,65.53016662597656,69.7300033569336,71.16000366210938,69.58000183105469,70.56999969482422,890500
2023-10-24,66.42294311523438,70.68000030517578,71.02999877929688,69.9000015258789,70.26000213623047,703500
2023-10-25,64.87232971191406,69.02999877929688,70.19000244140625,68.88999938964844,70.19000244140625,504600
2023-10-26,65.87789154052734,70.0999984741211,70.91999816894531,69.25,69.45999908447266,1257900
2023-10-27,68.20852661132812,72.58000183105469,74.19999694824219,70.6500015258789,72.33999633789062,1562300
2023-10-30,70.66132354736328,75.19000244140625,75.58999633789062,73.18000030517578,73.5999984741211,1515000
2023-10-31,70.2290267944336,74.7300033569336,75.83999633789062,74.70999908447266,75.05999755859375,1217500
2023-11-01,69.98467254638672,74.47000122070312,75.06999969482422,72.87000274658203,74.48999786376953,1302300
2023-11-02,70.64251708984375,75.16999816894531,75.83999633789062,74.30999755859375,74.6500015258789,915400
2023-11-03,72.39049530029297,77.02999877929688,77.87999725341797,76.2300033569336,76.2300033569336,770000
2023-11-06,71.67626190185547,76.2699966430664,77.12999725341797,75.94999694824219,76.83000183105469,828600
2023-11-07,71.23458099365234,75.80000305175781,76.36000061035156,75.01000213623047,75.2300033569336,718700
2023-11-08,71.54469299316406,76.12999725341797,76.58999633789062,75.5,75.79000091552734,574200
2023-11-09,71.58228302001953,76.16999816894531,77.0999984741211,75.83000183105469,76.83999633789062,1085900
2023-11-10,72.48445892333984,77.12999725341797,77.5,75.97000122070312,76.2300033569336,669100
2023-11-13,72.21192932128906,76.83999633789062,77.66999816894531,76.27999877929688,76.55999755859375,761400
2023-11-14,74.96546173095703,79.7699966430664,80.25,78.44000244140625,78.44000244140625,778300
