Price,Adj Close,Close,High,Low,Open,Volume
Ticker,KR,KR,KR,KR,KR,KR
Date,,,,,,
2023-09-11,43.45048904418945,45.43000030517578,46.93000030517578,45.310001373291016,46.849998474121094,6648200
2023-09-12,43.689598083496094,45.68000030517578,45.91999816894531,45.27000045776367,45.63999938964844,4061100
2023-09-13,43.144432067871094,45.11000061035156,45.79999923706055,44.900001525878906,45.79999923706055,4851200
2023-09-14,43.794803619384766,45.790000915527344,45.939998626708984,45.16999816894531,45.290000915527344,4587500
2023-09-15,44.30170822143555,46.31999969482422,46.58000183105469,45.810001373291016,45.900001525878906,22036000
2023-09-18,44.51213073730469,46.540000915527344,46.849998474121094,46.09000015258789,46.34000015258789,4689800
2023-09-19,44.08172607421875,46.09000015258789,46.599998474121094,45.959999084472656,46.560001373291016,3770200
2023-09-20,44.16781234741211,46.18000030517578,46.5,45.75,45.959999084472656,3394000
2023-09-21,43.71828842163086,45.709999084472656,46.13999938964844,45.52000045776367,46.11000061035156,4798700
2023-09-22,43.67047119140625,45.65999984741211,45.869998931884766,45.400001525878906,45.70000076293945,3724100
2023-09-25,43.71828842163086,45.709999084472656,45.75,45.349998474121094,45.47999954223633,2756200
2023-09-26,43.18269348144531,45.150001525878906,45.7400016784668,45.130001068115234,45.61000061035156,3015800
2023-09-27,42.54188919067383,44.47999954223633,45.2599983215332,44.22999954223633,45.0,4516200
2023-09-28,43.12530517578125,45.09000015258789,45.310001373291016,44.529998779296875,44.599998474121094,3811100
2023-09-29,42.80011749267578,44.75,45.279998779296875,44.529998779296875,45.09000015258789,3414500
2023-10-02,42.11149215698242,44.029998779296875,44.65999984741211,43.70000076293945,44.61000061035156,3802600
2023-10-03,42.34103012084961,44.27000045776367,44.400001525878906,43.68000030517578,43.810001373291016,3658600
2023-10-04,42.98183822631836,44.939998626708984,45.04999923706055,44.279998779296875,44.5,4266300
2023-10-05,42.22626876831055,44.150001525878906,44.959999084472656,44.130001068115234,44.84000015258789,3126300
2023-10-06,41.556766510009766,43.45000076293945,44.189998626708984,42.619998931884766,44.08000183105469,6351700
2023-10-09,42.67578125,44.619998931884766,44.63999938964844,43.45000076293945,43.45000076293945,4720000
2023-10-10,42.88620376586914,44.84000015258789,45.29999923706055,44.83000183105469,44.95000076293945,5383000
2023-10-11,42.2645149230957,44.189998626708984,45.06999969482422,43.65999984741211,44.849998474121094,5080500
2023-10-12,42.33147048950195,44.2599983215332,44.540000915527344,43.58000183105469,44.189998626708984,3846900
2023-10-13,42.23582458496094,44.15999984741211,44.529998779296875,44.040000915527344,44.33000183105469,4039500
2023-10-16,42.36016845703125,44.290000915527344,44.650001525878906,44.209999084472656,44.470001220703125,3740000
2023-10-17,42.551456451416016,44.4900016784668,44.66999816894531,44.16999816894531,44.209999084472656,2919200
2023-10-18,42.30276870727539,44.22999954223633,44.900001525878906,44.209999084472656,44.58000183105469,4177800
2023-10-19,42.561012268066406,44.5,44.81999969482422,44.16999816894531,44.189998626708984,4327800
2023-10-20,42.20713806152344,44.130001068115234,44.689998626708984,44.130001068115234,44.619998931884766,3488400
