Price,Adj Close,Close,High,Low,Open,Volume
Ticker,LEN,LEN,LEN,LEN,LEN,LEN
Date,,,,,,
2023-09-11,112.64488983154297,115.93417358398438,117.63794708251953,114.9467544555664,114.9467544555664,1670981
2023-09-12,109.58796691894531,112.78799438476562,116.81510162353516,112.43949890136719,115.2081298828125,2189857
2023-09-13,109.08004760742188,112.26524353027344,113.72701263427734,110.416259765625,113.27202606201172,1940490
2023-09-14,110.707275390625,113.93997955322266,114.11422729492188,112.13939666748047,113.32042694091797,3164699
2023-09-15,107.94194030761719,111.09390258789062,111.42304229736328,106.4859619140625,106.64085388183594,6613576
2023-09-18,110.08648681640625,113.30106353759766,113.6689224243164,110.9196548461914,111.38431549072266,3450220
2023-09-19,110.32164001464844,113.54307556152344,114.5304946899414,111.61665344238281,113.1364974975586,2451516
2023-09-20,109.60677337646484,112.80735778808594,115.60503387451172,112.66214752197266,114.10455322265625,2043274
2023-09-21,106.40878295898438,109.51597595214844,110.9970932006836,108.12197875976562,110.88092803955078,3024934
2023-09-22,106.75679779052734,109.87415313720703,111.09390258789062,109.05130767822266,110.68731689453125,2387056
2023-09-25,106.35234832763672,109.45789337158203,110.39690399169922,108.77056884765625,109.0997085571289,2163205
2023-09-26,105.28948211669922,108.3639907836914,109.7192611694336,108.21878051757812,108.92546081542969,2239337
2023-09-27,105.06373596191406,108.13165283203125,110.2807388305664,107.80252075195312,109.24491882324219,3076274
2023-09-28,107.41520690917969,110.55178833007812,110.70668029785156,107.84123992919922,108.25749969482422,2651298
2023-09-29,105.562255859375,108.64472198486328,112.85575866699219,108.22846221923828,111.50048065185547,1934912
2023-10-02,104.54641723632812,107.59922790527344,109.6224594116211,106.56340789794922,107.86060333251953,2640865
2023-10-03,101.7999038696289,104.77250671386719,107.23136138916016,103.95934295654297,106.58277130126953,2949422
2023-10-04,102.49593353271484,105.4888687133789,106.08905792236328,104.34656524658203,105.42110443115234,2874632
2023-10-05,102.18553924560547,105.1694107055664,106.17618560791016,104.29816436767578,105.12100982666016,2076227
2023-10-06,102.7310791015625,105.73088073730469,106.4472427368164,103.09777069091797,103.99806213378906,2084387
2023-10-09,104.6592788696289,107.71539306640625,107.85092163085938,104.0948715209961,104.70474243164062,1588237
2023-10-10,106.35234832763672,109.45789337158203,111.06485748291016,107.91868591308594,107.91868591308594,2507608
2023-10-11,107.83869171142578,110.61955261230469,111.3165512084961,109.0803451538086,109.9031982421875,1892249
2023-10-12,102.35570526123047,104.99516296386719,109.59341430664062,104.23040008544922,108.96417999267578,2205662
2023-10-13,103.1484146118164,105.8083267211914,106.89254760742188,104.75314331054688,105.03388214111328,2121059
2023-10-16,103.41265869140625,106.07937622070312,106.96031188964844,104.98548126220703,106.71829223632812,1550946
2023-10-17,103.45985412597656,106.1277847290039,107.57986450195312,105.21781158447266,105.527587890625,1742464
2023-10-18,100.77024841308594,103.36882781982422,105.527587890625,103.33010864257812,104.84027099609375,1701351
2023-10-19,98.72238159179688,101.26815032958984,103.90126037597656,100.87124633789062,103.60116577148438,2244606
2023-10-20,97.94853973388672,100.47434997558594,101.93611145019531,100.24201202392578,101.3359146118164,1672324
2023-10-23,99.37354278564453,101.93611145019531,102.92352294921875,100.16456604003906,100.52275085449219,1849277
2023-10-24,99.02436828613281,101.57792663574219,103.04936981201172,100.64859771728516,101.80058288574219,1825104
2023-10-25,97.26905822753906,99.77735137939453,101.34559631347656,99.67086029052734,101.1132583618164,1983876
2023-10-26,98.08064270019531,100.60987091064453,102.09099578857422,99.61277770996094,100.3581771850586,2423728
2023-10-27,97.94853973388672,100.47434997558594,101.34559631347656,100.04840087890625,101.00677490234375,1390831
2023-10-30,98.63744354248047,101.18102264404297,102.02323150634766,100.10648345947266,101.29719543457031,2199050
2023-10-31,100.67588806152344,103.27202606201172,103.79476928710938,101.3359146118164,101.55856323242188,1810746
2023-11-01,104.96035766601562,107.6669921875,107.91868591308594,102.36205291748047,103.2526626586914,2728566
2023-11-02,109.33921813964844,112.15876007080078,113.54307556152344,109.81607055664062,110.42594146728516,2789410
2023-11-03,113.07633209228516,115.99225616455078,118.18006134033203,115.04356384277344,115.04356384277344,2708010
2023-11-06,112.03824615478516,114.92739868164062,115.50822448730469,112.89448547363281,114.12390899658203,1774591
2023-11-07,113.63313293457031,116.56340789794922,117.69602966308594,114.7918701171875,115.04356384277344,1852685
2023-11-08,114.07667541503906,117.01839447021484,117.85092163085938,115.86640930175781,116.71829223632812,1536794
2023-11-09,112.89703369140625,115.8083267211914,118.26718139648438,115.12100982666016,117.07647705078125,1285878
2023-11-10,115.32239532470703,118.29622650146484,118.73184967041016,115.34365844726562,116.49564361572266,1478533
2023-11-13,115.36956787109375,118.3446273803711,118.94482421875,116.6505355834961,118.77056884765625,1532869
2023-11-14,121.04132080078125,124.16263580322266,127.07647705078125,122.6137466430664,122.84607696533203,3451046
2023-11-15,119.71068572998047,122.79767608642578,125.1500473022461,122.74927520751953,123.95934295654297,2176324
2023-11-16,119.927734375,123.02033233642578,123.99806213378906,122.3330078125,123.00096893310547,1776863
2023-11-17,120.31465148925781,123.41722869873047,124.22071838378906,123.05905151367188,123.81413269042969,1869833
2023-11-20,121.07906341552734,124.20135498046875,124.25943756103516,122.00387573242188,122.73959350585938,1195594
2023-11-21,119.64462280273438,122.72991180419922,124.37560272216797,122.68151092529297,123.65924835205078,1269660
2023-11-22,120.25802612304688,123.35914611816406,124.65634155273438,122.56534576416016,123.61083984375,1010894
2023-11-24,120.44678497314453,123.5527572631836,123.92062377929688,122.72023010253906,123.20426177978516,440988
2023-11-27,119.70124053955078,122.78799438476562,123.20426177978516,122.05227661132812,122.05227661132812,1061098
2023-11-28,118.96512603759766,122.03291320800781,123.09777069091797,121.5392074584961,122.42013549804688,1271210
2023-11-29,119.70124053955078,122.78799438476562,123.9883804321289,122.6137466430664,123.58180236816406,1637512
2023-11-30,120.72047424316406,123.83349609375,123.97870635986328,121.17134857177734,122.36205291748047,2543246
2023-12-01,124.1744613647461,127.37657165527344,127.46369934082031,123.85285949707031,123.93997955322266,1815394
