Price,Adj Close,Close,High,Low,Open,Volume
Ticker,LH,LH,LH,LH,LH,LH
Date,,,,,,
2023-09-11,196.97044372558594,201.92999267578125,204.32000732421875,201.88999938964844,203.3300018310547,468200
2023-09-12,196.63880920410156,201.58999633789062,203.47000122070312,201.08999633789062,201.9199981689453,899600
2023-09-13,199.487060546875,204.50999450683594,204.6999969482422,201.50999450683594,201.50999450683594,1015200
2023-09-14,198.63845825195312,203.63999938964844,206.86000061035156,203.22999572753906,205.94000244140625,600300
2023-09-15,196.6973114013672,201.64999389648438,204.6699981689453,201.1300048828125,202.7100067138672,886100
2023-09-18,196.22911071777344,201.1699981689453,202.08999633789062,198.69000244140625,201.50999450683594,724600
2023-09-19,199.6431427001953,204.6699981689453,204.9199981689453,201.3800048828125,201.3800048828125,1230900
2023-09-20,200.16012573242188,205.1999969482422,206.36000061035156,204.14999389648438,205.5,850500
2023-09-21,200.10162353515625,205.13999938964844,207.57000732421875,203.89999389648438,204.6999969482422,1085400
2023-09-22,200.1113739013672,205.14999389648438,206.8699951171875,204.5399932861328,205.1300048828125,936000
2023-09-25,203.30105590820312,208.4199981689453,208.5,203.88999938964844,204.67999267578125,1019000
2023-09-26,200.31622314453125,205.36000061035156,208.72999572753906,205.32000732421875,207.6699981689453,938700
2023-09-27,199.81875610351562,204.85000610351562,206.8699951171875,203.61000061035156,206.11000061035156,757100
2023-09-28,198.2677764892578,203.25999450683594,206.9199981689453,202.99000549316406,205.27000427246094,809300
2023-09-29,196.112060546875,201.0500030517578,204.57000732421875,200.75999450683594,204.22000122070312,1090800
2023-10-02,194.65866088867188,199.55999755859375,200.5800018310547,196.80999755859375,199.99000549316406,1012300
2023-10-03,195.5463104248047,200.47000122070312,201.5,198.6300048828125,199.02999877929688,674100
2023-10-04,196.31689453125,201.25999450683594,201.8300018310547,197.4499969482422,200.50999450683594,690500
2023-10-05,195.85842895507812,200.7899932861328,202.2899932861328,198.82000732421875,201.7899932861328,496100
2023-10-06,196.44371032714844,201.38999938964844,203.61000061035156,199.64999389648438,199.64999389648438,472900
2023-10-09,197.4386749267578,202.41000366210938,203.16000366210938,200.3699951171875,200.3699951171875,507900
