Price,Adj Close,Close,High,Low,Open,Volume
Ticker,LIN,LIN,LIN,LIN,LIN,LIN
Date,,,,,,
2023-09-11,379.7718200683594,389.3500061035156,391.5,387.4800109863281,388.6000061035156,862000
2023-09-12,378.37701416015625,387.9200134277344,389.5899963378906,386.989990234375,387.3900146484375,1047900
2023-09-13,375.6751708984375,385.1499938964844,388.67999267578125,384.3900146484375,386.9599914550781,1207500
2023-09-14,380.2107238769531,389.79998779296875,390.92999267578125,385.6400146484375,387.2799987792969,1231500
2023-09-15,378.4452209472656,387.989990234375,393.4200134277344,386.010009765625,389.70001220703125,2820400
2023-09-18,377.9965515136719,387.5299987792969,389.3800048828125,385.1000061035156,387.6700134277344,652000
2023-09-19,380.19122314453125,389.7799987792969,390.3900146484375,385.54998779296875,388.04998779296875,1458800
2023-09-20,369.5008239746094,378.82000732421875,388.7099914550781,378.6400146484375,388.6499938964844,1747300
2023-09-21,363.2778625488281,372.44000244140625,377.489990234375,372.32000732421875,377.1400146484375,1362200
2023-09-22,363.7752685546875,372.95001220703125,375.9700012207031,370.6700134277344,370.8599853515625,1017300
2023-09-25,367.30621337890625,376.57000732421875,376.8999938964844,369.0,371.17999267578125,1558100
2023-09-26,362.06829833984375,371.20001220703125,375.2699890136719,368.9700012207031,373.7099914550781,1769500
2023-09-27,362.8583984375,372.010009765625,373.9200134277344,370.010009765625,371.42999267578125,1254900
2023-09-28,364.3019714355469,373.489990234375,376.6700134277344,371.3999938964844,372.69000244140625,1065500
2023-09-29,363.1900329589844,372.3500061035156,376.8699951171875,371.95001220703125,375.8500061035156,1474100
2023-10-02,361.1026611328125,370.2099914550781,371.44000244140625,366.5,370.94000244140625,1298400
2023-10-03,363.658203125,372.8299865722656,377.1300048828125,367.7699890136719,368.6000061035156,1747600
2023-10-04,369.2960205078125,378.6099853515625,379.8800048828125,372.760009765625,374.1300048828125,1897900
2023-10-05,360.76123046875,369.8599853515625,381.0,367.1099853515625,378.260009765625,1821900
2023-10-06,364.3507385253906,373.5400085449219,375.04998779296875,367.0299987792969,369.239990234375,1571300
2023-10-09,364.5361022949219,373.7300109863281,374.4700012207031,369.239990234375,370.3900146484375,846100
2023-10-10,369.6374206542969,378.9599914550781,381.6700134277344,375.0899963378906,376.3599853515625,1335500
2023-10-11,369.3544921875,378.6700134277344,381.5899963378906,377.3299865722656,380.3399963378906,931400
2023-10-12,368.4181213378906,377.7099914550781,381.3999938964844,375.3399963378906,380.7099914550781,888400
2023-10-13,368.59375,377.8900146484375,382.4599914550781,376.1400146484375,379.70001220703125,1214200
2023-10-16,369.9104919433594,379.239990234375,384.32000732421875,378.010009765625,378.4800109863281,1182400
2023-10-17,371.7149963378906,381.0899963378906,382.3299865722656,376.4800109863281,377.6300048828125,920300
2023-10-18,362.26336669921875,371.3999938964844,379.6499938964844,370.9200134277344,379.1300048828125,1486600
2023-10-19,361.03436279296875,370.1400146484375,373.5899963378906,368.8500061035156,370.44000244140625,1249200
2023-10-20,357.3473205566406,366.3599853515625,371.7799987792969,365.94000244140625,370.0,1334100
2023-10-23,356.44024658203125,365.42999267578125,368.6300048828125,361.0199890136719,365.0,1648700
2023-10-24,358.2252502441406,367.260009765625,369.4200134277344,365.0400085449219,366.5299987792969,1590000
2023-10-25,355.41607666015625,364.3800048828125,369.5,362.3299865722656,367.8299865722656,1492900
2023-10-26,361.2099304199219,370.32000732421875,374.2900085449219,366.1199951171875,370.8900146484375,2168400
2023-10-27,361.414794921875,370.5299987792969,376.55999755859375,367.8599853515625,367.8599853515625,1945300
2023-10-30,369.5495910644531,378.8699951171875,379.4200134277344,373.69000244140625,376.07000732421875,1478000
2023-10-31,372.75872802734375,382.1600036621094,384.07000732421875,376.70001220703125,378.2099914550781,2020700
2023-11-01,377.5771789550781,387.1000061035156,387.5299987792969,381.05999755859375,382.2699890136719,1564900
2023-11-02,380.0741882324219,389.6600036621094,391.7099914550781,387.44000244140625,387.4700012207031,1586700
2023-11-03,382.8540954589844,392.510009765625,395.17999267578125,388.6300048828125,390.1000061035156,1339300
2023-11-06,383.33203125,393.0,393.5299987792969,390.239990234375,392.54998779296875,1464000
2023-11-07,379.7230224609375,389.29998779296875,390.9599914550781,385.1199951171875,389.9599914550781,2647400
2023-11-08,382.6102600097656,392.260009765625,394.1300048828125,389.1400146484375,391.4100036621094,1631400
2023-11-09,381.3617248535156,390.9800109863281,394.3900146484375,390.3800048828125,394.3299865722656,1305400
2023-11-10,390.00372314453125,399.8399963378906,400.3699951171875,391.510009765625,391.510009765625,1378100
2023-11-13,389.9159851074219,399.75,401.95001220703125,395.0,396.3599853515625,1420000
2023-11-14,393.82733154296875,403.760009765625,406.7799987792969,399.57000732421875,399.57000732421875,1350500
2023-11-15,392.8421325683594,402.75,406.1300048828125,402.1000061035156,403.9700012207031,1139900
2023-11-16,398.3433837890625,408.3900146484375,408.9599914550781,402.32000732421875,403.17999267578125,1228100
2023-11-17,397.8459777832031,407.8800048828125,411.0799865722656,406.5,411.0799865722656,1542500
2023-11-20,398.2263488769531,408.2699890136719,410.1199951171875,406.20001220703125,407.54998779296875,1678500
2023-11-21,401.7767639160156,411.9100036621094,414.9700012207031,409.4100036621094,411.0400085449219,1225300
2023-11-22,401.4939880371094,411.6199951171875,412.510009765625,408.1099853515625,410.739990234375,1111000
2023-11-24,404.0299987792969,414.2200012207031,416.19000244140625,411.8699951171875,412.6700134277344,711300
2023-11-27,402.6448669433594,412.79998779296875,414.0,410.0,413.8299865722656,1301200
2023-11-28,400.6258239746094,410.7300109863281,413.82000732421875,410.0199890136719,412.010009765625,1134300
2023-11-29,401.2696228027344,411.3900146484375,415.2900085449219,410.95001220703125,412.57000732421875,1405900
2023-11-30,403.591064453125,413.7699890136719,416.0,409.7900085449219,410.4599914550781,4023900
2023-12-01,402.813232421875,411.70001220703125,415.04998779296875,409.9700012207031,412.45001220703125,2107300
2023-12-04,397.8624572753906,406.6400146484375,411.239990234375,406.0199890136719,409.0,2092400
2023-12-05,395.2500305175781,403.9700012207031,406.6099853515625,402.1499938964844,406.0,2207000
2023-12-06,391.6690979003906,400.30999755859375,404.1700134277344,398.44000244140625,403.9700012207031,2263700
2023-12-07,390.0448913574219,398.6499938964844,401.4100036621094,397.3800048828125,399.4100036621094,1914100
2023-12-08,392.60833740234375,401.2699890136719,401.6000061035156,397.4599914550781,398.0,1483700
2023-12-11,399.4278869628906,408.239990234375,408.2900085449219,399.8699951171875,400.0,1653400
2023-12-12,417.509033203125,426.7200012207031,434.2099914550781,420.29998779296875,425.69000244140625,6829000
2023-12-13,399.9171142578125,408.739990234375,414.1700134277344,404.6700134277344,405.94000244140625,3359600
2023-12-14,400.8759765625,409.7200012207031,411.1199951171875,405.8299865722656,406.7799987792969,2220500
2023-12-15,398.58648681640625,407.3800048828125,410.8999938964844,404.8999938964844,407.4100036621094,4241100
2023-12-18,400.2693786621094,409.1000061035156,412.989990234375,407.7699890136719,411.8999938964844,1717600
2023-12-19,403.1947937011719,412.0899963378906,414.25,410.1099853515625,412.0,1344600
2023-12-20,397.5885009765625,406.3599853515625,411.7900085449219,405.94000244140625,410.739990234375,1578500
2023-12-21,400.2987060546875,409.1300048828125,409.3999938964844,406.6099853515625,408.0199890136719,1534000
2023-12-22,401.87396240234375,410.739990234375,412.2799987792969,408.760009765625,410.5899963378906,838900
2023-12-26,401.0814514160156,409.92999267578125,411.7300109863281,409.6300048828125,410.6099853515625,619300
2023-12-27,402.3338317871094,411.2099914550781,411.3500061035156,408.0,408.0,850900
2023-12-28,400.9248352050781,409.7699890136719,410.8999938964844,409.2099914550781,410.5299987792969,814400
2023-12-29,401.8445739746094,410.7099914550781,412.1199951171875,407.9599914550781,408.7200012207031,975900
2024-01-02,400.739013671875,409.5799865722656,411.7300109863281,406.70001220703125,409.7799987792969,1571900
2024-01-03,399.88775634765625,408.7099914550781,409.8599853515625,405.2900085449219,405.8999938964844,1536300
2024-01-04,399.7703552246094,408.5899963378906,411.6499938964844,407.5799865722656,407.6400146484375,1517800
2024-01-05,400.2889099121094,409.1199951171875,410.489990234375,406.25,409.04998779296875,1400100
2024-01-08,399.476806640625,408.2900085449219,409.989990234375,404.3599853515625,407.8599853515625,1142300
2024-01-09,397.911376953125,406.69000244140625,407.7799987792969,404.42999267578125,407.4800109863281,1256200
2024-01-10,397.1188659667969,405.8800048828125,406.0899963378906,404.010009765625,404.42999267578125,1170600
2024-01-11,397.1971130371094,405.9599914550781,407.0,401.6400146484375,406.7799987792969,1110500
2024-01-12,400.0932312011719,408.9200134277344,409.55999755859375,405.5,408.739990234375,849100
2024-01-16,397.8722229003906,406.6499938964844,410.6099853515625,406.0,407.4800109863281,1464700
2024-01-17,397.9700622558594,406.75,407.3299865722656,403.9200134277344,404.4700012207031,1369100
2024-01-18,399.04632568359375,407.8500061035156,408.3800048828125,403.739990234375,407.05999755859375,1232200
2024-01-19,398.58648681640625,407.3800048828125,408.0,404.260009765625,407.1199951171875,2265900
2024-01-22,397.6961364746094,406.4700012207031,407.32000732421875,401.4100036621094,401.8800048828125,2105400
2024-01-23,399.08551025390625,407.8900146484375,408.17999267578125,402.1700134277344,405.2900085449219,1293900
2024-01-24,392.6181335449219,401.2799987792969,408.3900146484375,401.0,407.07000732421875,1594800
2024-01-25,394.7608947753906,403.4700012207031,403.6000061035156,400.3999938964844,400.7200012207031,1550900
2024-01-26,395.318603515625,404.0400085449219,405.32000732421875,401.6700134277344,404.4100036621094,1146600
2024-01-29,396.8546447753906,405.6099853515625,405.8699951171875,402.260009765625,404.7799987792969,1400400
2024-01-30,399.04632568359375,407.8500061035156,410.5400085449219,405.3999938964844,406.04998779296875,1647600
2024-01-31,396.09149169921875,404.8299865722656,410.6099853515625,403.3299865722656,409.4599914550781,1782000
2024-02-01,399.8290710449219,408.6499938964844,410.0,405.30999755859375,408.2699890136719,1893600
2024-02-02,398.302734375,407.0899963378906,408.92999267578125,404.239990234375,407.0199890136719,2218600
2024-02-05,391.982177734375,400.6300048828125,401.9800109863281,396.07000732421875,396.8399963378906,3487800
2024-02-06,406.5898742675781,415.55999755859375,421.0,411.3599853515625,414.8900146484375,3227000
2024-02-07,407.83245849609375,416.8299865722656,423.9700012207031,415.29998779296875,419.07000732421875,1985600
2024-02-08,405.0635986328125,414.0,419.29998779296875,413.3599853515625,419.29998779296875,1488900
2024-02-09,410.3665771484375,419.4200134277344,419.8399963378906,412.2900085449219,413.80999755859375,1351500
2024-02-12,410.5525207519531,419.6099853515625,420.989990234375,418.1199951171875,420.3599853515625,1272100
2024-02-13,407.2650451660156,416.25,419.7099914550781,414.2200012207031,418.9200134277344,1313300
2024-02-14,409.36859130859375,418.3999938964844,420.8500061035156,416.6199951171875,418.8699951171875,1345200
2024-02-15,419.43646240234375,428.69000244140625,429.239990234375,419.69000244140625,420.25,1721600
2024-02-16,422.31304931640625,431.6300048828125,434.7699890136719,430.6499938964844,432.2699890136719,1460800
2024-02-20,426.5495300292969,435.9599914550781,439.3999938964844,434.19000244140625,435.5899963378906,1869200
2024-02-21,429.9740295410156,439.4599914550781,439.75,434.6300048828125,437.760009765625,1230900
2024-02-22,437.380615234375,447.0299987792969,447.8299865722656,438.7300109863281,441.7699890136719,1386900
2024-02-23,437.899169921875,447.55999755859375,448.5400085449219,445.30999755859375,448.29998779296875,1164900
