Price,Adj Close,Close,High,Low,Open,Volume
Ticker,PSX,PSX,PSX,PSX,PSX,PSX
Date,,,,,,
2023-09-11,114.0990982055664,122.33999633789062,124.05999755859375,121.27999877929688,122.9000015258789,3105400
2023-09-12,115.90841674804688,124.27999877929688,124.83000183105469,122.5999984741211,122.87999725341797,4229600
2023-09-13,114.8731918334961,123.16999816894531,125.19000244140625,122.38999938964844,124.75,2779400
2023-09-14,114.6866683959961,122.97000122070312,124.0,122.69999694824219,123.91000366210938,2526300
2023-09-15,112.87734985351562,121.02999877929688,122.47000122070312,120.33999633789062,121.97000122070312,9312900
2023-09-18,114.2016830444336,122.44999694824219,123.91000366210938,121.0,122.52999877929688,2237500
2023-09-19,112.12190246582031,120.22000122070312,123.4800033569336,119.06999969482422,123.4000015258789,2970100
2023-09-20,111.98201751708984,120.06999969482422,121.80000305175781,119.55000305175781,119.72000122070312,2491400
2023-09-21,111.86077880859375,119.94000244140625,123.83999633789062,119.69000244140625,122.41999816894531,2730800
2023-09-22,110.59237670898438,118.58000183105469,121.69999694824219,118.5199966430664,120.5,2426300
2023-09-25,112.15921783447266,120.26000213623047,120.63999938964844,118.45999908447266,118.5,2499100
2023-09-26,111.37579345703125,119.41999816894531,120.27999877929688,118.5999984741211,119.19999694824219,2350800
2023-09-27,112.662841796875,120.80000305175781,121.54000091552734,119.7300033569336,120.45999908447266,2793800
2023-09-28,115.06903839111328,123.37999725341797,123.47000122070312,120.38999938964844,120.48999786376953,3294300
2023-09-29,112.05662536621094,120.1500015258789,123.44000244140625,119.4800033569336,123.44000244140625,2841900
2023-10-02,111.00273895263672,119.0199966430664,120.30000305175781,118.19000244140625,120.08999633789062,2445800
2023-10-03,107.84107208251953,115.62999725341797,118.54000091552734,114.12999725341797,118.0,2988400
2023-10-04,103.04730987548828,110.48999786376953,113.30000305175781,108.66000366210938,113.16000366210938,4464100
2023-10-05,102.10536193847656,109.4800033569336,111.16999816894531,108.58999633789062,108.77999877929688,3206000
2023-10-06,101.83489990234375,109.19000244140625,110.81999969482422,108.19999694824219,110.51000213623047,2625500
2023-10-09,103.71883392333984,111.20999908447266,111.66000366210938,109.33999633789062,111.05999755859375,2769800
2023-10-10,104.8193359375,112.38999938964844,112.98999786376953,110.33999633789062,110.86000061035156,2662300
2023-10-11,104.57685089111328,112.12999725341797,112.48999786376953,110.16000366210938,111.41999816894531,2035900
2023-10-12,103.28981018066406,110.75,113.0,109.88999938964844,112.91999816894531,1976800
2023-10-13,103.14990997314453,110.5999984741211,112.73999786376953,110.4800033569336,112.45999908447266,3393200
2023-10-16,104.25042724609375,111.77999877929688,112.66000366210938,111.06999969482422,111.5,2750200
2023-10-17,106.23695373535156,113.91000366210938,113.9800033569336,111.68000030517578,111.68000030517578,2471900
2023-10-18,108.4193344116211,116.25,116.7699966430664,113.9800033569336,114.19000244140625,3249700
2023-10-19,107.43072509765625,115.19000244140625,116.36000061035156,114.62999725341797,116.1500015258789,2091400
2023-10-20,105.89188385009766,113.54000091552734,116.02999877929688,113.1500015258789,115.3499984741211,2667200
2023-10-23,105.43487548828125,113.05000305175781,113.58999633789062,112.0199966430664,113.30999755859375,2463500
2023-10-24,104.39032745361328,111.93000030517578,113.69999694824219,111.88999938964844,113.52999877929688,2331600
2023-10-25,103.28047943115234,110.73999786376953,112.88999938964844,110.47000122070312,112.12999725341797,2581100
2023-10-26,102.68360137939453,110.0999984741211,110.54000091552734,108.08999633789062,109.86000061035156,3517900
2023-10-27,103.45767974853516,110.93000030517578,112.05999755859375,107.8499984741211,111.13999938964844,5214900
2023-10-30,104.86597442626953,112.44000244140625,113.51000213623047,109.86000061035156,112.22000122070312,3194600
2023-10-31,106.38617706298828,114.06999969482422,115.2300033569336,112.41999816894531,114.43000030517578,3618600
2023-11-01,108.27010345458984,116.08999633789062,117.08999633789062,113.73999786376953,114.8499984741211,3343100
2023-11-02,110.16336059570312,118.12000274658203,118.5199966430664,116.0,116.16000366210938,2566900
2023-11-03,108.9229507446289,116.79000091552734,118.33999633789062,115.2699966430664,117.76000213623047,2525000
2023-11-06,108.97891235351562,116.8499984741211,118.11000061035156,116.33999633789062,117.23999786376953,2484500
2023-11-07,106.19032287597656,113.86000061035156,115.47000122070312,113.20999908447266,115.33000183105469,2180700
2023-11-08,104.27840423583984,111.80999755859375,113.88999938964844,111.62000274658203,113.05000305175781,2898600
2023-11-09,103.17789459228516,110.62999725341797,112.93000030517578,110.54000091552734,111.80999755859375,1802200
2023-11-10,105.79862213134766,113.44000244140625,113.58999633789062,111.73999786376953,112.0,2429400
2023-11-13,106.46078491210938,114.1500015258789,114.63999938964844,113.25,113.5,1487900
2023-11-14,107.27217864990234,115.0199966430664,115.54000091552734,114.16000366210938,114.30999755859375,2407900
2023-11-15,107.71051788330078,115.48999786376953,116.91999816894531,114.25,114.55999755859375,3203500
2023-11-16,106.85404205322266,113.52999877929688,114.73999786376953,111.9000015258789,113.44000244140625,4559600
2023-11-17,109.52703094482422,116.37000274658203,117.37999725341797,114.16999816894531,114.16999816894531,3354300
2023-11-20,111.16471099853516,118.11000061035156,119.0199966430664,116.58000183105469,116.58000183105469,2876700
2023-11-21,110.50587463378906,117.41000366210938,118.13999938964844,116.43000030517578,117.5,2039400
2023-11-22,111.07059478759766,118.01000213623047,118.20999908447266,114.94000244140625,115.88999938964844,2212000
2023-11-24,111.65412139892578,118.62999725341797,120.04000091552734,118.0,118.30000305175781,1173600
2023-11-27,111.37177276611328,118.33000183105469,118.87000274658203,117.31999969482422,118.2300033569336,2447200
2023-11-28,111.06118774414062,118.0,119.2300033569336,117.73999786376953,118.55000305175781,1926400
2023-11-29,115.03302764892578,122.22000122070312,123.87000274658203,121.30000305175781,123.0,6873900
2023-11-30,121.31079864501953,128.88999938964844,129.75,122.41000366210938,122.72000122070312,9147400
2023-12-01,122.07316589355469,129.6999969482422,131.25999450683594,127.75,128.5,4757300
2023-12-04,120.88727569580078,128.44000244140625,131.3699951171875,127.9000015258789,128.91000366210938,4842900
2023-12-05,120.19078063964844,127.69999694824219,130.5800018310547,127.51000213623047,128.60000610351562,3484500
2023-12-06,117.64956665039062,125.0,127.86000061035156,124.62999725341797,126.83999633789062,2952000
2023-12-07,117.29190826416016,124.62000274658203,126.73999786376953,124.06999969482422,125.94000244140625,3702200
2023-12-08,117.95072937011719,125.31999969482422,126.4000015258789,123.29000091552734,125.41999816894531,4102700
2023-12-11,118.97663879394531,126.41000366210938,127.36000061035156,124.76000213623047,125.04000091552734,2976800
2023-12-12,117.85661315917969,125.22000122070312,125.5,123.87000274658203,125.08000183105469,3484900
2023-12-13,119.68254089355469,127.16000366210938,127.41999816894531,123.37999725341797,125.01000213623047,3054600
2023-12-14,122.4590835571289,130.11000061035156,130.3699951171875,126.26000213623047,128.0,4260100
2023-12-15,122.23316192626953,129.8699951171875,130.17999267578125,127.72000122070312,127.94000244140625,9648400
2023-12-18,123.57909393310547,131.3000030517578,133.02000427246094,130.72999572753906,131.30999755859375,2987700
2023-12-19,125.93209838867188,133.8000030517578,133.8300018310547,131.4199981689453,131.52000427246094,2873100
2023-12-20,126.18621063232422,134.07000732421875,136.69000244140625,133.8300018310547,134.2899932861328,3365700
2023-12-21,126.39324951171875,134.2899932861328,135.33999633789062,133.27999877929688,134.33999633789062,3235100
2023-12-22,126.17678833007812,134.05999755859375,135.82000732421875,133.9199981689453,135.6300048828125,1402200
2023-12-26,127.73916625976562,135.72000122070312,136.08999633789062,134.52000427246094,135.10000610351562,1542400
2023-12-27,126.77916717529297,134.6999969482422,135.99000549316406,134.2100067138672,135.2100067138672,1799000
2023-12-28,125.0285415649414,132.83999633789062,134.69000244140625,132.7899932861328,134.10000610351562,1827500
2023-12-29,125.3108901977539,133.13999938964844,133.89999389648438,132.69000244140625,133.33999633789062,2023900
2024-01-02,126.39324951171875,134.2899932861328,135.25,133.25,133.5,2500300
2024-01-03,127.76740264892578,135.75,136.4499969482422,134.00999450683594,134.00999450683594,3094700
2024-01-04,127.32505798339844,135.27999877929688,138.05999755859375,134.88999938964844,136.38999938964844,3125200
2024-01-05,127.28742218017578,135.24000549316406,137.4199981689453,134.66000366210938,136.35000610351562,3126500
2024-01-08,125.97913360595703,133.85000610351562,134.19000244140625,131.75,133.49000549316406,3636500
2024-01-09,125.37678527832031,133.2100067138672,133.7899932861328,131.8300018310547,133.7899932861328,2172600
2024-01-10,121.80023193359375,129.41000366210938,133.5500030517578,128.92999267578125,133.5500030517578,3619900
2024-01-11,122.61907196044922,130.27999877929688,130.9199981689453,129.2100067138672,129.94000244140625,3540000
2024-01-12,125.05677032470703,132.8699951171875,132.9499969482422,131.58999633789062,132.50999450683594,2909900
2024-01-16,121.85669708251953,129.47000122070312,133.52999877929688,129.08999633789062,133.0,3169400
2024-01-17,120.7272720336914,128.27000427246094,130.22000122070312,127.47000122070312,128.13999938964844,2437000
2024-01-18,120.16255187988281,127.66999816894531,128.47000122070312,126.62999725341797,128.47000122070312,2337300
2024-01-19,121.49903869628906,129.08999633789062,129.1199951171875,127.05999755859375,127.9800033569336,2880300
2024-01-22,122.0355453491211,129.66000366210938,129.9499969482422,128.0,128.89999389648438,2307900
2024-01-23,123.40026092529297,131.11000061035156,131.4199981689453,129.1199951171875,129.47999572753906,2309600
2024-01-24,125.80972290039062,133.6699981689453,133.6999969482422,131.6199951171875,131.97000122070312,2649200
2024-01-25,129.55569458007812,137.64999389648438,137.67999267578125,134.75999450683594,135.38999938964844,3167700
2024-01-26,131.97457885742188,140.22000122070312,140.27999877929688,137.1699981689453,137.64999389648438,3389100
2024-01-29,130.91099548339844,139.08999633789062,139.77999877929688,137.6999969482422,139.66000366210938,3099600
2024-01-30,134.03578186035156,142.41000366210938,142.5800018310547,137.10000610351562,137.8000030517578,3664500
2024-01-31,135.82406616210938,144.30999755859375,147.67999267578125,142.85000610351562,144.49000549316406,8307900
2024-02-01,136.99114990234375,145.5500030517578,148.72000122070312,142.3800048828125,145.3300018310547,5090500
2024-02-02,136.91583251953125,145.47000122070312,147.7100067138672,143.97000122070312,145.91000366210938,3702200
2024-02-05,138.58177185058594,147.24000549316406,148.27000427246094,143.6999969482422,144.36000061035156,2899800
2024-02-06,137.3299560546875,145.91000366210938,149.52000427246094,145.85000610351562,148.0,3323300
2024-02-07,137.9134979248047,146.52999877929688,147.50999450683594,145.77000427246094,146.2899932861328,2607800
2024-02-08,138.1864776611328,146.82000732421875,147.92999267578125,145.67999267578125,146.67999267578125,4018700
2024-02-09,137.0946807861328,145.66000366210938,147.77999877929688,145.35000610351562,146.8300018310547,2889100
2024-02-12,135.95582580566406,144.4499969482422,146.2899932861328,144.24000549316406,146.27000427246094,3753800
2024-02-13,136.62408447265625,145.16000366210938,146.42999267578125,143.50999450683594,144.61000061035156,3226300
2024-02-14,136.671142578125,145.2100067138672,146.52999877929688,143.05999755859375,146.2100067138672,3086700
2024-02-15,137.76290893554688,146.3699951171875,147.3800048828125,144.27999877929688,144.5,2810900
2024-02-16,136.33145141601562,143.80999755859375,145.42999267578125,143.2100067138672,145.3300018310547,2690100
2024-02-20,133.80029296875,141.13999938964844,143.64999389648438,140.49000549316406,143.64999389648438,3483200
2024-02-21,136.0849609375,143.5500030517578,143.9600067138672,141.4600067138672,141.4600067138672,2403100
2024-02-22,138.9953155517578,146.6199951171875,146.6699981689453,142.69000244140625,143.47999572753906,2633700
2024-02-23,139.4598388671875,147.11000061035156,147.66000366210938,145.27999877929688,145.9600067138672,2189700
2024-02-26,140.59742736816406,148.30999755859375,150.0800018310547,146.8000030517578,147.00999450683594,2584700
2024-02-27,137.78187561035156,145.33999633789062,149.1699981689453,144.9600067138672,148.63999938964844,2106200
2024-02-28,133.8950958251953,141.24000549316406,145.08999633789062,140.8699951171875,144.75,2594700
2024-02-29,135.0990447998047,142.50999450683594,143.44000244140625,140.9499969482422,141.24000549316406,3370200
2024-03-01,136.70114135742188,144.1999969482422,144.80999755859375,143.22000122070312,143.22999572753906,2063600
2024-03-04,136.75804138183594,144.25999450683594,145.99000549316406,143.0500030517578,143.30999755859375,3479200
2024-03-05,138.50238037109375,146.10000610351562,147.1300048828125,143.82000732421875,144.25999450683594,2886800
2024-03-06,139.13754272460938,146.77000427246094,148.13999938964844,145.1300048828125,147.1199951171875,3210200
2024-03-07,141.4506378173828,149.2100067138672,150.41000366210938,147.32000732421875,147.6699981689453,2947200
2024-03-08,141.57386779785156,149.33999633789062,150.77000427246094,148.3300018310547,148.8800048828125,2398500
2024-03-11,141.716064453125,149.49000549316406,149.5,146.2100067138672,147.86000061035156,3230900
2024-03-12,142.55030822753906,150.3699951171875,151.4199981689453,148.42999267578125,149.5,2367700
2024-03-13,146.43710327148438,154.47000122070312,155.42999267578125,152.0,152.07000732421875,4028600
2024-03-14,146.35179138183594,154.3800048828125,156.85000610351562,153.4499969482422,155.83999633789062,3637300
