Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SBAC,SBAC,SBAC,SBAC,SBAC,SBAC
Date,,,,,,
2023-09-11,207.3954315185547,215.1999969482422,218.10000610351562,213.94000244140625,217.74000549316406,734000
2023-09-12,206.58587646484375,214.36000061035156,214.72999572753906,210.92999267578125,214.58999633789062,564800
2023-09-13,204.6295166015625,212.3300018310547,214.1199951171875,211.07000732421875,212.85000610351562,720300
2023-09-14,210.8841552734375,218.82000732421875,219.13999938964844,213.3300018310547,214.0500030517578,585500
2023-09-15,210.23843383789062,218.14999389648438,219.88999938964844,216.69000244140625,219.44000244140625,1003500
2023-09-18,207.29905700683594,215.10000610351562,218.8800048828125,214.86000061035156,218.27999877929688,603100
2023-09-19,205.73779296875,213.47999572753906,215.5,212.55999755859375,214.41000366210938,545800
2023-09-20,207.1737518310547,214.97000122070312,217.3000030517578,214.30999755859375,216.27000427246094,463400
2023-09-21,197.25694274902344,204.67999267578125,213.00999450683594,204.52999877929688,212.75999450683594,646500
2023-09-22,193.81640625,201.11000061035156,205.8000030517578,200.8699951171875,204.69000244140625,1015700
2023-09-25,194.0284423828125,201.3300018310547,201.57000732421875,199.17999267578125,200.3699951171875,621000
2023-09-26,192.84303283691406,200.10000610351562,200.44000244140625,198.00999450683594,198.52999877929688,714700
2023-09-27,188.9495391845703,196.05999755859375,200.75999450683594,192.8800048828125,199.74000549316406,1185600
2023-09-28,191.2625274658203,198.4600067138672,199.61000061035156,195.97999572753906,196.08999633789062,1139100
2023-09-29,192.91049194335938,200.1699981689453,202.8800048828125,199.1300048828125,202.50999450683594,918500
2023-10-02,191.05050659179688,198.24000549316406,200.8699951171875,196.82000732421875,198.85000610351562,1030500
2023-10-03,183.09005737304688,189.97999572753906,197.25,189.6300048828125,197.25,975000
2023-10-04,183.8803253173828,190.8000030517578,193.1699981689453,187.1999969482422,190.8000030517578,884200
2023-10-05,184.3428955078125,191.27999877929688,191.58999633789062,187.32000732421875,190.1199951171875,898600
2023-10-06,184.96934509277344,191.92999267578125,192.75,185.22999572753906,188.60000610351562,734900
2023-10-09,187.75453186035156,194.82000732421875,194.9499969482422,190.82000732421875,191.19000244140625,960600
2023-10-10,187.9376220703125,195.00999450683594,196.0,193.1699981689453,195.3000030517578,605500
2023-10-11,194.2886505126953,201.60000610351562,202.33999633789062,195.1199951171875,196.08999633789062,1080100
2023-10-12,192.67921447753906,199.92999267578125,201.4499969482422,197.36000061035156,199.85000610351562,867400
2023-10-13,194.25975036621094,201.57000732421875,203.50999450683594,200.11000061035156,200.8800048828125,744900
2023-10-16,195.54148864746094,202.89999389648438,204.66000366210938,199.14999389648438,202.83999633789062,766800
2023-10-17,193.1417999267578,200.41000366210938,202.3300018310547,198.50999450683594,199.8699951171875,812700
2023-10-18,187.6967010498047,194.75999450683594,200.52000427246094,194.72000122070312,199.60000610351562,521300
2023-10-19,182.56967163085938,189.44000244140625,193.75999450683594,188.11000061035156,192.30999755859375,1805300
2023-10-20,184.92117309570312,191.8800048828125,193.6199951171875,189.10000610351562,190.47999572753906,1147500
2023-10-23,186.19329833984375,193.1999969482422,196.8699951171875,189.00999450683594,189.91000366210938,1105200
2023-10-24,189.93260192871094,197.0800018310547,198.17999267578125,194.17999267578125,195.0,1085200
2023-10-25,188.61227416992188,195.7100067138672,198.02999877929688,194.75,196.13999938964844,1069400
2023-10-26,198.83746337890625,206.32000732421875,207.77000427246094,197.4199981689453,197.47000122070312,1401500
2023-10-27,196.61123657226562,204.00999450683594,205.60000610351562,201.88999938964844,205.60000610351562,850200
2023-10-30,197.47862243652344,204.91000366210938,207.13999938964844,201.13999938964844,205.77999877929688,939400
2023-10-31,201.06369018554688,208.6300048828125,209.6999969482422,204.80999755859375,206.02999877929688,784600
2023-11-01,200.12887573242188,207.66000366210938,209.75,205.88999938964844,209.07000732421875,792300
2023-11-02,209.515625,217.39999389648438,220.24000549316406,207.67999267578125,211.6699981689453,1467300
2023-11-03,218.8542022705078,227.08999633789062,234.64999389648438,222.9199981689453,223.27000427246094,1538800
2023-11-06,212.83087158203125,220.83999633789062,225.8699951171875,220.38999938964844,224.9199981689453,1028800
2023-11-07,211.7225799560547,219.69000244140625,222.25999450683594,218.3300018310547,221.1699981689453,640600
2023-11-08,212.05026245117188,220.02999877929688,221.07000732421875,218.7100067138672,220.24000549316406,472100
2023-11-09,210.4793701171875,218.39999389648438,223.49000549316406,217.77999877929688,220.61000061035156,782600
2023-11-10,211.0479736328125,218.99000549316406,220.22999572753906,215.6999969482422,219.3699951171875,620600
2023-11-13,210.98049926757812,218.9199981689453,219.97000122070312,215.47000122070312,217.02000427246094,450000
2023-11-14,225.17630004882812,233.64999389648438,235.85000610351562,226.66000366210938,227.39999389648438,1063800
2023-11-15,226.19190979003906,233.85000610351562,235.82000732421875,229.74000549316406,229.74000549316406,951500
2023-11-16,228.2811737060547,236.00999450683594,237.3800048828125,233.0,234.72000122070312,688200
2023-11-17,226.05650329589844,233.7100067138672,238.13999938964844,233.41000366210938,238.13999938964844,615000
2023-11-20,227.46868896484375,235.1699981689453,236.00999450683594,229.67999267578125,232.19000244140625,523000
2023-11-21,225.91140747070312,233.55999755859375,236.69000244140625,233.0,234.77000427246094,564100
2023-11-22,225.57286071777344,233.2100067138672,236.5399932861328,233.1199951171875,236.5399932861328,400300
2023-11-24,227.3913116455078,235.08999633789062,235.6999969482422,230.36000061035156,232.25,184900
2023-11-27,229.70303344726562,237.47999572753906,239.72999572753906,235.83999633789062,236.9499969482422,906800
2023-11-28,234.23944091796875,242.1699981689453,242.77999877929688,236.77999877929688,237.75999450683594,983500
2023-11-29,237.1702117919922,245.1999969482422,247.24000549316406,243.72000122070312,243.72000122070312,931200
2023-11-30,238.87258911132812,246.9600067138672,249.1300048828125,242.89999389648438,242.89999389648438,1178200
2023-12-01,242.3643798828125,250.57000732421875,251.1999969482422,244.7100067138672,246.60000610351562,801700
2023-12-04,240.74903869628906,248.89999389648438,250.0,245.82000732421875,248.11000061035156,590100
2023-12-05,242.1902618408203,250.38999938964844,251.17999267578125,247.75,249.13999938964844,716000
