Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SJM,SJM,SJM,SJM,SJM,SJM
Date,,,,,,
2023-09-11,122.01371765136719,131.66000366210938,133.3800048828125,129.0,131.17999267578125,5051100
2023-09-12,120.34559631347656,129.86000061035156,132.10000610351562,129.0399932861328,132.00999450683594,3418000
2023-09-13,119.0018310546875,128.41000366210938,131.2100067138672,128.36000061035156,130.44000244140625,2056000
2023-09-14,118.0843505859375,127.41999816894531,128.47999572753906,126.25,128.0,2411200
2023-09-15,117.53759765625,126.83000183105469,127.4000015258789,126.25,126.73999786376953,2859900
2023-09-18,117.48198699951172,126.7699966430664,127.48999786376953,125.2300033569336,127.48999786376953,1113100
2023-09-19,118.02875518798828,127.36000061035156,127.69999694824219,126.16000366210938,126.7300033569336,1599900
2023-09-20,118.86280822753906,128.25999450683594,129.3000030517578,126.91999816894531,127.97000122070312,1120300
2023-09-21,119.26131439208984,128.69000244140625,129.74000549316406,127.5999984741211,128.0,1319200
2023-09-22,117.3151626586914,126.58999633789062,128.6999969482422,126.51000213623047,128.3000030517578,749500
2023-09-25,117.23175811767578,126.5,127.26000213623047,125.86000061035156,126.05999755859375,707200
2023-09-26,119.0018310546875,128.41000366210938,128.64999389648438,126.0,126.37000274658203,1635500
2023-09-27,116.24943542480469,125.44000244140625,128.66000366210938,124.5199966430664,128.2100067138672,1371900
2023-09-28,115.48023986816406,124.61000061035156,126.44000244140625,124.22000122070312,126.02999877929688,1009900
2023-09-29,113.90480041503906,122.91000366210938,124.7699966430664,122.63999938964844,124.25,1380100
2023-10-02,112.56101989746094,121.45999908447266,123.11000061035156,120.62000274658203,122.7300033569336,1115800
2023-10-03,111.58795166015625,120.41000366210938,121.80000305175781,119.93000030517578,120.72000122070312,1040400
2023-10-04,111.50455474853516,120.31999969482422,120.63999938964844,118.80999755859375,120.13999938964844,1090200
2023-10-05,108.00150299072266,116.54000091552734,120.44000244140625,116.47000122070312,119.88999938964844,1252400
2023-10-06,106.57433319091797,115.0,116.48999786376953,111.70999908447266,116.0999984741211,1834200
2023-10-09,106.4353256225586,114.8499984741211,116.1500015258789,114.0,114.98999786376953,1263200
2023-10-10,107.46399688720703,115.95999908447266,116.44000244140625,114.5,115.95999908447266,1364600
2023-10-11,106.32411193847656,114.7300033569336,116.80000305175781,114.05999755859375,116.30999755859375,982300
2023-10-12,103.35857391357422,111.52999877929688,114.73999786376953,110.48999786376953,114.55999755859375,1791200
2023-10-13,105.00814056396484,113.30999755859375,113.33000183105469,110.51000213623047,111.0,1082200
2023-10-16,104.46138763427734,112.72000122070312,114.08999633789062,112.08999633789062,114.05999755859375,1359100
2023-10-17,105.59199523925781,113.94000244140625,113.97000122070312,112.06999969482422,112.52999877929688,1021900
2023-10-18,106.39824676513672,114.80999755859375,115.87000274658203,113.83999633789062,114.16999816894531,999500
2023-10-19,105.48078918457031,113.81999969482422,114.94999694824219,112.62000274658203,114.48999786376953,1104000
2023-10-20,104.47065734863281,112.7300033569336,114.72000122070312,112.47000122070312,114.37000274658203,1135000
2023-10-23,103.81266784667969,112.0199966430664,113.76000213623047,111.87999725341797,112.5999984741211,1243600
2023-10-24,104.2853012084961,112.52999877929688,113.3499984741211,111.86000061035156,112.19000244140625,1165500
2023-10-25,106.11096954345703,114.5,115.08999633789062,112.43000030517578,112.68000030517578,1786900
2023-10-26,104.74867248535156,113.02999877929688,114.79000091552734,112.83999633789062,114.33999633789062,1823100
2023-10-27,104.48918914794922,112.75,113.79000091552734,112.1500015258789,112.75,1274000
2023-10-30,105.3232421875,113.6500015258789,113.76000213623047,112.18000030517578,112.62000274658203,1117100
2023-10-31,105.49931335449219,113.83999633789062,114.41999816894531,112.94999694824219,114.02999877929688,1540500
2023-11-01,104.71160888671875,112.98999786376953,114.36000061035156,112.80999755859375,114.1500015258789,1179500
2023-11-02,105.71247863769531,114.06999969482422,114.91999816894531,112.56999969482422,113.30000305175781,1290900
2023-11-03,105.15643310546875,113.47000122070312,115.05999755859375,113.31999969482422,114.83999633789062,1124600
2023-11-06,104.57258605957031,112.83999633789062,113.98999786376953,112.4800033569336,113.31999969482422,2214300
2023-11-07,102.0704116821289,110.13999938964844,112.0,109.63999938964844,112.0,1716700
2023-11-08,100.41155242919922,108.3499984741211,110.5,107.33000183105469,110.47000122070312,1730500
2023-11-09,101.13440704345703,109.12999725341797,109.55999755859375,107.6500015258789,108.51000213623047,1251100
2023-11-10,100.77297973632812,108.73999786376953,109.23999786376953,107.77999877929688,109.02999877929688,932100
2023-11-13,100.27255249023438,108.19999694824219,109.68000030517578,108.0,108.37000274658203,1063400
2023-11-14,103.03421020507812,111.18000030517578,111.47000122070312,108.63999938964844,109.33999633789062,1564000
2023-11-15,103.70144653320312,111.9000015258789,112.08999633789062,110.80000305175781,111.18000030517578,1345500
2023-11-16,104.103759765625,111.2699966430664,112.0199966430664,110.23999786376953,110.6500015258789,1455400
2023-11-17,104.49671936035156,111.69000244140625,112.01000213623047,110.12000274658203,111.95999908447266,1389100
2023-11-20,105.02999877929688,112.26000213623047,112.56999969482422,110.52999877929688,110.88999938964844,1385700
2023-11-21,104.96451568603516,112.19000244140625,112.6500015258789,111.30000305175781,112.47000122070312,1365300
2023-11-22,106.01237487792969,113.30999755859375,113.44999694824219,111.87999725341797,112.70999908447266,1305700
2023-11-24,105.97494506835938,113.2699966430664,113.94000244140625,112.97000122070312,113.3499984741211,462000
2023-11-27,103.94470977783203,111.0999984741211,113.3499984741211,110.5999984741211,113.3499984741211,1622000
2023-11-28,102.5319595336914,109.58999633789062,111.30999755859375,109.54000091552734,111.0999984741211,1181800
2023-11-29,101.58700561523438,108.58000183105469,109.5199966430664,108.19999694824219,109.26000213623047,1970300
2023-11-30,102.66295623779297,109.7300033569336,109.87000274658203,107.75,108.68000030517578,2081600
2023-12-01,104.24409484863281,111.41999816894531,111.55000305175781,109.54000091552734,109.8499984741211,1443900
2023-12-04,105.18905639648438,112.43000030517578,113.70999908447266,111.5,111.55999755859375,2329900
2023-12-05,108.64141082763672,116.12000274658203,118.37999725341797,114.5,115.83999633789062,3196100
2023-12-06,110.08222961425781,117.66000366210938,119.16000366210938,114.58000183105469,115.61000061035156,2338600
2023-12-07,113.26325225830078,121.05999755859375,122.12000274658203,117.13999938964844,118.0,2859400
2023-12-08,111.64466857910156,119.33000183105469,121.56999969482422,119.19000244140625,121.05000305175781,1515700
2023-12-11,113.67491149902344,121.5,121.51000213623047,119.72000122070312,120.0,1652800
2023-12-12,116.65945434570312,124.69000244140625,125.12000274658203,121.12999725341797,121.75,2455200
2023-12-13,118.57743835449219,126.73999786376953,126.9800033569336,123.48999786376953,124.19000244140625,1952000
2023-12-14,117.28631591796875,125.36000061035156,127.93000030517578,124.93000030517578,127.44999694824219,2269500
2023-12-15,115.63031005859375,123.58999633789062,125.33000183105469,122.94999694824219,125.05999755859375,2497200
2023-12-18,115.92970275878906,123.91000366210938,124.47000122070312,122.37999725341797,123.5999984741211,1093600
2023-12-19,116.31329345703125,124.31999969482422,124.69999694824219,123.2300033569336,123.5199966430664,1033400
2023-12-20,114.45146179199219,122.33000183105469,123.91999816894531,121.44999694824219,122.66999816894531,1252700
2023-12-21,115.69580841064453,123.66000366210938,123.93000030517578,122.0199966430664,122.61000061035156,896200
2023-12-22,116.72496032714844,124.76000213623047,125.66999816894531,123.61000061035156,124.4000015258789,700500
2023-12-26,117.2208251953125,125.29000091552734,125.70999908447266,124.06999969482422,124.76000213623047,649600
2023-12-27,117.05240631103516,125.11000061035156,125.38999938964844,124.52999877929688,125.29000091552734,897800
2023-12-28,117.67926025390625,125.77999877929688,126.0999984741211,124.72000122070312,124.72000122070312,687700
2023-12-29,118.24061584472656,126.37999725341797,126.44999694824219,125.37999725341797,125.56999969482422,713700
2024-01-02,121.22518920898438,129.57000732421875,129.8300018310547,126.01000213623047,126.37000274658203,1153900
2024-01-03,121.43099975585938,129.7899932861328,131.3699951171875,129.61000061035156,130.33999633789062,1229200
2024-01-04,120.35507202148438,128.63999938964844,129.9499969482422,128.14999389648438,129.5,1255400
2024-01-05,119.849853515625,128.10000610351562,130.41000366210938,127.66999816894531,128.47000122070312,801800
2024-01-08,120.71060180664062,129.02000427246094,129.24000549316406,127.80999755859375,127.80999755859375,854700
2024-01-09,122.75955200195312,131.2100067138672,131.3699951171875,127.8499984741211,128.67999267578125,1360700
2024-01-10,121.15968322753906,129.5,131.32000732421875,129.39999389648438,130.74000549316406,1089800
2024-01-11,118.98908996582031,127.18000030517578,130.10000610351562,126.88999938964844,129.02000427246094,1081200
2024-01-12,121.15968322753906,129.5,129.6300048828125,127.54000091552734,127.87999725341797,1387300
2024-01-16,119.90597534179688,128.16000366210938,129.6300048828125,127.9800033569336,129.33999633789062,1682400
2024-01-17,122.32919311523438,130.75,130.77999877929688,127.66000366210938,127.9800033569336,1317700
2024-01-18,120.9725570678711,129.3000030517578,130.50999450683594,128.52000427246094,130.1699981689453,1144600
2024-01-19,120.8790054321289,129.1999969482422,129.88999938964844,127.37999725341797,129.52999877929688,1041800
2024-01-22,120.4579849243164,128.75,129.13999938964844,127.41000366210938,128.7100067138672,905100
2024-01-23,122.78761291503906,131.24000549316406,131.30999755859375,127.80999755859375,129.49000549316406,1479700
2024-01-24,121.38422393798828,129.74000549316406,131.6999969482422,129.32000732421875,131.0500030517578,1294500
2024-01-25,123.0776596069336,131.5500030517578,131.7100067138672,129.66000366210938,130.27000427246094,844000
2024-01-26,123.20863342285156,131.69000244140625,132.72999572753906,131.11000061035156,132.11000061035156,1392600
2024-01-29,123.11507415771484,131.58999633789062,132.0,130.0800018310547,131.97000122070312,1478500
2024-01-30,124.37813568115234,132.94000244140625,133.02999877929688,130.64999389648438,131.47999572753906,927100
2024-01-31,123.0776596069336,131.5500030517578,133.4600067138672,131.1300048828125,133.1699981689453,1518000
2024-02-01,125.1266098022461,133.74000549316406,134.30999755859375,131.47999572753906,132.97000122070312,996600
2024-02-02,124.15359497070312,132.6999969482422,134.6199951171875,132.5500030517578,134.0,940800
2024-02-05,120.88836669921875,129.2100067138672,132.4600067138672,129.1999969482422,132.19000244140625,947300
2024-02-06,123.69515228271484,132.2100067138672,133.2899932861328,128.8300018310547,128.91000366210938,1533900
2024-02-07,123.14313507080078,131.6199951171875,133.85000610351562,131.3300018310547,132.86000061035156,1153700
2024-02-08,122.64725494384766,131.08999633789062,133.22999572753906,130.74000549316406,131.82000732421875,888300
2024-02-09,119.6627197265625,127.9000015258789,130.42999267578125,127.66999816894531,130.42999267578125,914300
2024-02-12,121.38422393798828,129.74000549316406,129.9199981689453,127.37000274658203,127.58999633789062,827000
2024-02-13,119.40076446533203,127.62000274658203,130.7899932861328,126.66000366210938,129.49000549316406,1334300
2024-02-14,117.18340301513672,125.25,127.94999694824219,124.36000061035156,127.0199966430664,1251100
2024-02-15,117.3909912109375,124.41000366210938,126.11000061035156,123.8499984741211,124.73999786376953,1412200
2024-02-16,117.08902740478516,124.08999633789062,124.93000030517578,122.6500015258789,123.87000274658203,1747800
2024-02-20,118.77806091308594,125.87999725341797,126.97000122070312,124.0999984741211,124.19000244140625,1127900
2024-02-21,118.9667739868164,126.08000183105469,126.20999908447266,124.19000244140625,125.69999694824219,1266500
2024-02-22,117.27775573730469,124.29000091552734,125.02999877929688,121.79000091552734,125.02999877929688,1484800
2024-02-23,118.8157958984375,125.91999816894531,127.1500015258789,123.5199966430664,124.13999938964844,1149100
2024-02-26,118.18359375,125.25,126.80000305175781,124.66000366210938,125.70999908447266,1426800
2024-02-27,115.72084045410156,122.63999938964844,126.83999633789062,119.66999816894531,124.61000061035156,3384500
2024-02-28,114.95653533935547,121.83000183105469,126.26000213623047,120.16999816894531,126.26000213623047,2924300
2024-02-29,113.39019775390625,120.16999816894531,122.48999786376953,119.98999786376953,122.22000122070312,2686800
2024-03-01,115.6264877319336,122.54000091552734,123.61000061035156,119.69999694824219,120.66999816894531,1779300
2024-03-04,115.07920837402344,121.95999908447266,122.41999816894531,120.61000061035156,121.79000091552734,1156500
2024-03-05,114.17337036132812,121.0,123.16999816894531,120.83999633789062,122.55000305175781,984300
2024-03-06,113.4751205444336,120.26000213623047,121.93000030517578,119.95999908447266,121.25,1456900
2024-03-07,110.90858459472656,117.54000091552734,120.63999938964844,117.47000122070312,120.63999938964844,1544000
2024-03-08,112.81461334228516,119.55999755859375,120.4000015258789,116.94000244140625,117.19999694824219,1190100
2024-03-11,114.72064971923828,121.58000183105469,122.16999816894531,119.7300033569336,119.7300033569336,926900
2024-03-12,115.79634094238281,122.72000122070312,122.80999755859375,120.7699966430664,121.06999969482422,1362900
2024-03-13,116.74935150146484,123.7300033569336,124.25,122.94000244140625,122.98999786376953,1264200
2024-03-14,114.85275268554688,121.72000122070312,123.56999969482422,120.7699966430664,123.30000305175781,1175500
2024-03-15,115.1830062866211,122.06999969482422,122.62999725341797,120.54000091552734,120.81999969482422,1908400
2024-03-18,115.75858306884766,122.68000030517578,123.62999725341797,121.16999816894531,121.87999725341797,1228700
2024-03-19,117.9005126953125,124.94999694824219,125.16999816894531,123.05000305175781,123.05000305175781,801000
2024-03-20,116.46627807617188,123.43000030517578,127.58999633789062,122.94000244140625,125.41999816894531,998400
2024-03-21,116.94750213623047,123.94000244140625,124.45999908447266,122.45999908447266,123.19999694824219,673400
2024-03-22,117.44760131835938,124.47000122070312,124.87000274658203,123.62999725341797,124.37999725341797,661000
2024-03-25,116.65499114990234,123.62999725341797,125.0,122.19999694824219,124.9000015258789,1232100
2024-03-26,116.32473754882812,123.27999877929688,124.02999877929688,123.08000183105469,124.02999877929688,890900
2024-03-27,118.62708282470703,125.72000122070312,125.80000305175781,123.80999755859375,123.80999755859375,761400
2024-03-28,118.76861572265625,125.87000274658203,127.1500015258789,125.56999969482422,126.29000091552734,1267500
2024-04-01,117.69293975830078,124.7300033569336,125.75,124.01000213623047,125.75,840800
2024-04-02,116.11714935302734,123.05999755859375,124.79000091552734,122.55999755859375,124.79000091552734,1307400
2024-04-03,112.77687072753906,119.5199966430664,122.9000015258789,119.5,122.73999786376953,1903300
2024-04-04,112.08805847167969,118.79000091552734,120.79000091552734,118.5199966430664,120.52999877929688,1374700
2024-04-05,110.60662841796875,117.22000122070312,118.76000213623047,116.98999786376953,118.41999816894531,738300
2024-04-08,109.39884185791016,115.94000244140625,118.08000183105469,115.9000015258789,116.98999786376953,1444700
2024-04-09,110.74817657470703,117.37000274658203,117.7300033569336,115.63999938964844,116.06999969482422,982600
2024-04-10,107.13424682617188,113.54000091552734,116.44000244140625,113.52999877929688,116.05999755859375,1340600
2024-04-11,105.71887969970703,112.04000091552734,114.58000183105469,111.9000015258789,113.9800033569336,1156700
2024-04-12,103.42597198486328,109.61000061035156,112.2699966430664,109.51000213623047,112.0199966430664,1066500
2024-04-15,103.9826889038086,110.19999694824219,111.0,109.37999725341797,110.0999984741211,1371600
2024-04-16,103.77510833740234,109.9800033569336,110.87999725341797,109.69000244140625,110.58999633789062,1400600
2024-04-17,103.60525512695312,109.80000305175781,110.86000061035156,109.61000061035156,110.44999694824219,1222100
2024-04-18,104.8319091796875,111.0999984741211,111.56999969482422,109.98999786376953,110.44000244140625,1179600
2024-04-19,108.2854232788086,114.76000213623047,114.97000122070312,111.25,111.3499984741211,1396800
2024-04-22,110.8331069946289,117.45999908447266,117.62000274658203,114.45999908447266,114.45999908447266,1313600
2024-04-23,111.05955505371094,117.69999694824219,118.0199966430664,115.7699966430664,117.19999694824219,1109900
2024-04-24,111.86160278320312,118.55000305175781,119.04000091552734,115.91000366210938,116.62000274658203,1336000
2024-04-25,108.68173217773438,115.18000030517578,119.9000015258789,114.94000244140625,119.25,1445500
2024-04-26,107.19086456298828,113.5999984741211,115.83000183105469,113.5999984741211,115.0199966430664,1359500
2024-04-29,108.18162536621094,114.6500015258789,114.76000213623047,113.4800033569336,113.87000274658203,1511100
2024-04-30,108.37034606933594,114.8499984741211,114.98999786376953,113.8499984741211,114.52999877929688,1649500
2024-05-01,107.19086456298828,113.5999984741211,114.29000091552734,112.36000061035156,113.41000366210938,1254400
2024-05-02,106.4831771850586,112.8499984741211,114.79000091552734,112.75,114.26000213623047,849900
2024-05-03,106.728515625,113.11000061035156,113.87999725341797,112.30999755859375,112.8499984741211,1031300
2024-05-06,106.4076919555664,112.7699966430664,113.56999969482422,111.58999633789062,113.5,1061200
2024-05-07,106.56810760498047,112.94000244140625,114.25,112.5199966430664,113.56999969482422,799400
2024-05-08,106.62471008300781,113.0,113.76000213623047,112.5,113.13999938964844,897300
2024-05-09,107.01158905029297,113.41000366210938,113.44000244140625,111.70999908447266,113.0,929900
2024-05-10,108.83269500732422,115.33999633789062,115.52999877929688,112.83000183105469,113.4000015258789,851000
2024-05-13,109.54039001464844,116.08999633789062,117.0,115.58999633789062,115.58999633789062,1150000
