Price,Adj Close,Close,High,Low,Open,Volume
Ticker,V,V,V,V,V,V
Date,,,,,,
2023-09-11,243.57835388183594,247.22000122070312,248.36000061035156,246.27000427246094,247.3300018310547,2995800
2023-09-12,243.6571807861328,247.3000030517578,247.75999450683594,246.00999450683594,246.94000244140625,3499600
2023-09-13,244.1793670654297,247.8300018310547,250.05999755859375,246.61000061035156,247.14999389648438,5657000
2023-09-14,237.94261169433594,241.5,245.5399932861328,238.75,245.0,12000000
2023-09-15,237.51895141601562,241.07000732421875,244.10000610351562,240.02999877929688,241.89999389648438,13077900
2023-09-18,241.05604553222656,244.66000366210938,245.22999572753906,240.77000427246094,240.94000244140625,4771600
2023-09-19,239.97225952148438,243.55999755859375,245.1199951171875,241.4600067138672,245.0,4709000
2023-09-20,238.2973175048828,241.86000061035156,244.52999877929688,241.6699981689453,243.6300048828125,5756600
2023-09-21,233.1246337890625,236.61000061035156,240.77999877929688,236.27000427246094,240.77000427246094,6881500
2023-09-22,231.61720275878906,235.0800018310547,237.7899932861328,234.8800048828125,236.75,5935500
2023-09-25,229.92251586914062,233.36000061035156,235.47000122070312,232.2100067138672,235.3800048828125,5921600
2023-09-26,226.2671661376953,229.64999389648438,232.6699981689453,229.60000610351562,231.92999267578125,6193200
2023-09-27,226.11936950683594,229.5,230.67999267578125,227.9199981689453,230.25999450683594,6006700
2023-09-28,228.24754333496094,231.66000366210938,232.5399932861328,229.6699981689453,230.6699981689453,4203900
2023-09-29,226.62184143066406,230.00999450683594,233.02999877929688,229.64999389648438,232.83999633789062,6045200
2023-10-02,227.86329650878906,231.27000427246094,231.3699951171875,228.77000427246094,229.24000549316406,5175200
2023-10-03,225.43954467773438,228.80999755859375,231.75,227.77999877929688,230.47000122070312,5585700
2023-10-04,227.8140411376953,231.22000122070312,231.6999969482422,228.8800048828125,229.47999572753906,5430900
2023-10-05,230.0407257080078,233.47999572753906,234.19000244140625,230.22000122070312,230.41000366210938,6126200
2023-10-06,231.57777404785156,235.0399932861328,236.58999633789062,232.75,233.1699981689453,6401300
2023-10-09,230.98660278320312,234.44000244140625,235.1699981689453,231.6999969482422,232.8000030517578,5372200
2023-10-10,233.1148223876953,236.60000610351562,238.22000122070312,234.27999877929688,234.89999389648438,4644000
2023-10-11,232.2083282470703,235.67999267578125,238.50999450683594,234.88999938964844,237.5500030517578,4760900
2023-10-12,233.2921142578125,236.77999877929688,237.72999572753906,234.88999938964844,236.7100067138672,4472800
2023-10-13,234.16905212402344,237.6699981689453,238.64999389648438,236.22999572753906,236.38999938964844,4966800
2023-10-16,236.53367614746094,240.07000732421875,240.7100067138672,238.3300018310547,239.0,6227300
2023-10-17,237.6470184326172,241.1999969482422,241.47999572753906,238.2899932861328,239.6300048828125,4527600
2023-10-18,233.9719696044922,237.47000122070312,240.8300018310547,236.99000549316406,239.9600067138672,9528300
2023-10-19,230.3658905029297,233.80999755859375,237.9199981689453,233.41000366210938,237.47000122070312,5927400
2023-10-20,229.9422149658203,233.3800048828125,235.77000427246094,232.63999938964844,234.1300048828125,5748300
2023-10-23,228.1194610595703,231.52999877929688,234.4600067138672,231.27999877929688,231.36000061035156,5071700
2023-10-24,231.19349670410156,234.64999389648438,236.52999877929688,232.88999938964844,232.88999938964844,6844100
2023-10-25,233.36111450195312,236.85000610351562,238.47999572753906,231.2899932861328,232.25,10365300
